Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
282,-0.35646619,0.725417515,1.971748889,0.831342715,0.369681435,-0.107776263,0.751609904,-0.12016626,-0.420674968,-0.059943219,-0.508270232,0.425506043,0.414309244,-0.698375267,-1.465348651,-0.119008625,-0.144735013,-1.332221249,-1.547440493,-0.13360212,0.02080379,0.424311755,-0.015989129,0.466754445,-0.809962007,0.657334415,-0.043150186,-0.046401395,0,0
14332,1.071950378,0.340678199,1.784067691,2.846395932,-0.751537865,0.403027674,-0.734920373,0.205807412,1.092726225,0.28608755,1.907718268,-1.48096835,1.751198595,1.190669743,-1.777972176,0.718800549,0.130063793,0.477206996,-0.834333876,-0.190846789,-0.169632092,-0.113604112,0.067642964,0.468668566,0.223541407,-0.112355485,0.014014595,0.021503883,0,0
32799,1.153477438,-0.047858806,1.358362887,1.480620095,-1.222598086,-0.481689608,-0.654461267,0.128114599,0.907094672,-0.036417588,-0.659895142,-0.30733493,-1.365634372,0.035305634,0.711439976,0.253843404,-0.222831657,0.26559908,-0.597019931,-0.245685629,0.125514443,0.480049309,-0.025963752,0.701842852,0.417244515,-0.257690694,0.060114584,0.035332058,0,0
35799,-0.769797704,0.622324611,0.242490615,-0.58665166,0.527818742,-0.104512052,0.209908885,0.669860955,-0.304508813,-0.708685999,-0.052799397,-0.287420399,-2.146131421,0.984518118,-0.924004255,0.153127046,-0.254019538,0.029713518,-0.29433711,-0.380487121,0.152737975,0.255654357,-0.130236528,-0.660933948,-0.493373562,0.331855141,-0.011100804,0.04908913,0,0
36419,1.047960089,0.145048132,1.624573223,2.932652287,-0.72657389,0.690451082,-0.627288437,0.278709304,0.31843398,0.317346686,-0.716396079,0.924279408,0.55843968,-0.827351576,-1.341928531,-0.393147021,0.357150353,-0.958389551,-1.052315854,-0.181954674,0.078498581,0.658942259,-0.06781031,0.476882081,0.526829543,0.219901871,0.070626624,0.028487665,0,0
36525,1.069759974,0.024594722,1.456098084,2.871150526,-0.705522453,0.840128136,-0.738895286,0.387201497,0.574312596,0.363128394,-1.270695631,-0.003559906,-0.927057368,-0.53990281,-1.148876094,-0.225825623,0.326920268,-0.662901708,-0.919173497,-0.2702334,0.039353815,0.472645757,-0.089548034,0.108521916,0.518094212,0.245263843,0.060115949,0.021872569,0,0
39200,1.063262834,0.145551048,1.381803256,2.468310597,-0.398896919,1.132590875,-0.750910273,0.476383209,-0.118393133,0.621186153,0.65791774,0.789519031,-0.087251096,-0.193651977,-0.718887839,0.624321404,-0.502500885,-0.037113243,-0.786561633,-0.1789595,-0.029786229,0.065503435,0.023450735,-0.308859384,0.236083649,-0.010731965,0.054657895,0.0186466,0,0
39635,-1.263991207,-0.171355606,1.289628108,-0.514425757,1.422454165,-0.61957371,0.19308595,0.278137224,-0.381876249,-0.626087847,0.569600159,0.00054369,-1.642933053,0.563521254,-0.89428166,-0.085397817,-0.296855126,-0.203958699,-0.453446941,-0.029216899,0.123153455,0.09371837,-0.19362885,-0.287023918,0.300652776,0.429903637,-0.024964412,0.075350955,0,0
42703,-1.089086153,2.07343515,1.512707105,3.34900363,-1.276276754,2.091134667,-3.879249928,-7.643642159,-1.48418837,-0.96012805,-0.854276879,1.424598099,0.850115599,0.666524697,0.185614304,0.423940406,0.522102626,-0.025322552,0.235594636,2.115666315,-3.839348233,1.220043702,0.414796143,0.387703877,0.571806498,0.244347105,0.05750179,0.315809686,0,0
45000,0.896724595,-0.010748292,1.423035986,2.379056699,0.06008916,2.510823915,-1.006596224,0.920047142,-0.14496178,0.475407569,1.675580314,1.151880297,-0.263265136,-0.069269834,0.101818629,-0.441347852,0.545165268,-1.630845241,-2.10148755,-0.29859718,0.082901482,0.501711009,0.162478,-1.020922203,-0.051465074,0.068172444,0.109604144,0.010468813,0,0
